"Tipo","Numero","Ano","Titulo","Descricao","Categoria","Curso","Publico","Tags","URL","Relevancia","Score","Temas"
"orientacao-normativa","ON 96/2025","2025","Orientação Normativa AGU nº 96/2025","Orientação Normativa 96/2025 I. Na cessão de uso de imóvel administrado pela União e suas autarquias e fundações, com a prestação de serviços comuns em favor de servidores públicos e administrados, é admissível adotar o critério de julgamento de maior preço nas modalidades pregão ou concorrência. II. O objeto principal da cessão de uso é a remuneração pelo uso do bem público, sendo o serviço de apoio meramente auxiliar. III. Excepcionalmente podem ser usados justificadamente critérios de julgamento relacionados ao objeto da atividade de apoio, desde que demonstrada que tal forma irá melhor atender o interesse público almejado pela cessão onerosa. Fundamentação","orientacao-normativa","7","Sim","AGU, ON 96/2025, Pregão","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","20","Pregão Eletrônico"
"orientacao-normativa","ON 97/2025","2025","Orientação Normativa AGU nº 97/2025","Orientação Normativa 97/2025 Não é obrigatória manifestação jurídica nas contratações diretas (dispensas e inexigibilidades de licitação) de pequeno valor e de baixa complexidade realizadas por repartições públicas sediadas no exterior com fundamento no art. 1º, § 2º, da Lei nº 14.133, de 1º de abril de 2021, salvo nas hipóteses em que o administrador tenha suscitado dúvida a respeito da juridicidade do procedimento de contratação e nos contratos que, em ato específico, demandem análise do órgão de assessoramento jurídico. Fundamentação","orientacao-normativa","7, 10","Sim","AGU, ON 97/2025, Licitação, Contratos, Contratação Direta","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","50","Licitações, Contratação Direta, Contratos Administrativos"
"orientacao-normativa","ON 98/2025","2025","Orientação Normativa AGU nº 98/2025","Orientação Normativa 98/2025 I - A extinção antecipada do contrato de execução contínua com fundamento na ausência de créditos orçamentários ou na perda de vantagem contratual poderá se dar com ônus ou sem ônus para a Administração Pública. II - A extinção antecipada do contrato de execução contínua nestas hipóteses, deverá ser justificada formalmente pela Administração Pública, observada as seguintes balizas: a) a justificativa deve ser fundamentada na ausência de créditos orçamentários ou na perda de vantagem contratual, conforme art. 106, III da Lei nº 14.133/2021; b) a justificativa deve apresentar elementos objetivos e documentados que comprovem a ausência de recursos ou a perda da vantagem contratual. III - A extinção antecipada do contrato de execução contínua sem ônus, prevista no","orientacao-normativa","7","Sim","AGU, ON 98/2025, Contratos","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","10","Contratos Administrativos"
"orientacao-normativa","ON 99/2025","2025","Orientação Normativa AGU nº 99/2025","Orientação Normativa 99/2025 I - A legalidade da prorrogação do prazo de vigência dos contratos administrativos de serviços e de fornecimentos contínuos, nos termos do artigo 107 da Lei nº 14.133, de 1º de abril de 2021, demanda expressa previsão no edital ou em cláusula contratual. II - No caso dos contratos de serviços e fornecimentos contínuos celebrados por meio de dispensa e inexigibilidade de licitação, a legalidade da prorrogação do prazo de vigência demanda previsão no respectivo termo de referência ou em cláusula contratual. Fundamentação","orientacao-normativa","2, 7, 9, 10","Sim","AGU, ON 99/2025, Licitação, Contratos, Contratação Direta","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","57","Licitações, Contratação Direta, Contratos Administrativos"
"orientacao-normativa","ON 100/2025","2025","Orientação Normativa AGU nº 100/2025","Orientação Normativa 100/2025 I - No regime jurídico da Lei nº 8.666/1993 e da Lei nº 10.520/2002, o reajuste em sentido estrito, a repactuação e a revisão por álea extraordinária são fenômenos próprios dos contratos administrativos, não sendo aplicáveis às atas de registro de preços. II - No regime jurídico da Lei nº 14.133/2021, o reajuste em sentido estrito, a repactuação e a revisão por álea extraordinária são aplicáveis às atas de registro de preços, conforme o inciso VI do art. 82 da Lei nº 14.133/2021 e o art. 25 do Decreto nº 11.462/2023. III - Os preços registrados poderão ser alterados, no que se refere ao reajuste em sentido estrito e à repactuação, desde que haja previsão expressa no edital. IV - O instituto da preclusão não se aplica ao reajuste em sentido estrito, desde que p","orientacao-normativa","1, 7, 8","Sim","AGU, ON 100/2025, Contratos, Registro de Preços","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","42","Sistema de Registro de Preços, Contratos Administrativos, Reajuste e Repactuação"
"orientacao-normativa","ON 101/2025","2025","Orientação Normativa AGU nº 101/2025","Orientação Normativa 101/2025 Os contratos regidos pela Lei nº 14.133, de 2021, como previsto no caput do art. 105, da citada Lei, podem ultrapassar o exercício financeiro em que celebrados, desde que as despesas a eles referentes sejam integralmente empenhadas até 31 de dezembro, permitindo-se, assim, sua inscrição em restos a pagar. Fundamentação Orientações Normativas da extinta CNU (Câmara Nacional de Uniformização) *possuem a mesma eficácia das ONs acima ORIENTAÇÃO NORMATIVA CNU/CGU/AGU nº 01 , de 22 de junho de 2016 Na cessão de uso de imóvel administrado pela União, para fins de prestação de serviços comuns em favor de servidores públicos e administrados, é obrigatória a modalidade licitatória pregão, preferencialmente eletrônico, tendo em vista que estes são o verdadeiro objeto con","orientacao-normativa","7","Sim","AGU, ON 101/2025, Contratos, Pregão","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/ons/fundamentacao-on-101.pdf","Sim","20","Pregão Eletrônico, Contratos Administrativos"
"orientacao-normativa","ON 82/2024","2024","Orientação Normativa AGU nº 82/2024","Orientação Normativa 82/2024 No processo licitatório na modalidade do diálogo competitivo é possível estabelecer no edital de pré-seleção critérios de exclusão a serem observados pelos licitantes para participação e durante o desenvolvimento dos diálogos, sob pena de exclusão da fase competitiva. Fundamentação","orientacao-normativa","7","Sim","AGU, ON 82/2024","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","10",""
"orientacao-normativa","ON 83/2024","2024","Orientação Normativa AGU nº 83/2024","Orientação Normativa 83/2024 Incumbe às unidades jurídicas da AGU instruir seus assessorados a realizarem Análise de Impacto Regulatório - AIR quando da elaboração de atos normativos de interesse geral de agentes econômicos ou de usuários de serviços prestados, mediante relatório aderente às exigências do art. 6º do Decreto nº 10.411/2020, dispensada apenas em situações abrangidas pelo seu art. 4º e pela forma de seu §1º, consoante nota técnica ou equivalente, que fundamente a proposta de edição ou alteração do ato normativo, cabendo-lhes em caso de dúvida sobre a incidência em concreto da exigência legal consultar o órgão de assessoramento jurídico competente. Fundamentação","orientacao-normativa","7, 10","Sim","AGU, ON 83/2024, Contratação Direta","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","10","Contratação Direta"
"orientacao-normativa","ON 84/2024","2024","Orientação Normativa AGU nº 84/2024","Orientação Normativa 84/2024 I - É possível a substituição do instrumento de contrato a que alude o art. 92 da Lei nº 14.133, de 2021, por outro instrumento mais simples, com base no art. 95, inciso I, do mesmo diploma legal, sempre que: a) o valor de contratos relativos a obras, serviços de engenharia e de manutenção de veículos automotores se encaixe no valor atualizado autorizativo da dispensa de licitação prevista no inciso I do art. 75, da Lei nº 14.133, de 2021; ou b) o valor de contratos relativos a compras e serviços em geral se encaixe no valor atualizado que autoriza a dispensa de licitação prevista no inciso II do art. 75, da Lei nº 14.133, de 2021. II - Não importa para a aplicação do inciso I do art. 95, da Lei nº 14.133, de 2021, se a contratação resultou de licitação, inexig","orientacao-normativa","7, 10","Sim","AGU, ON 84/2024, Licitação, Contratos, Contratação Direta","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","40","Licitações, Contratação Direta, Contratos Administrativos"
"orientacao-normativa","ON 85/2024","2024","Orientação Normativa AGU nº 85/2024","Orientação Normativa 85/2024 Nas contratações diretas, a divulgação do contrato no Portal Nacional de Contratações Públicas (PNCP), na forma dos artigos 94, inc. II, e 174 da Lei nº 14.133, de 2021, supre a exigência de publicidade prevista no artigo 72, p. único, do mesmo diploma. Fundamentação","orientacao-normativa","7","Sim","AGU, ON 85/2024, Contratos","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","10","Contratos Administrativos"
"orientacao-normativa","ON 87/2024","2024","Orientação Normativa AGU nº 87/2024","Orientação Normativa 87/2024 Para fins de dispensa de licitação em razão do valor (incisos I e II do art. 75 da Lei nº 14.133, de 2021) destinada a contratos de fornecimento ou serviço continuado com vigência plurianual, nos termos dos arts. 106 e 107, da Lei nº 14.133, de 2021, será considerado valor da contratação o montante equivalente ao período de 1 (um) ano de vigência contratual, na forma do §1º do art. 75 da Lei n. 14.133/2021. Fundamentação","orientacao-normativa","7, 10","Sim","AGU, ON 87/2024, Licitação, Contratos, Contratação Direta","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","40","Licitações, Contratação Direta, Contratos Administrativos"
"orientacao-normativa","ON 88/2024","2024","Orientação Normativa AGU nº 88/2024","Orientação Normativa 88/2024 (Lei 14.133/2021) I) No âmbito do Sistema de Registro de Preços, as competências do art. 53 da lei nº 14.133, de 2021, e do art. 11, inciso vi, alínea "a", da Lei Complementar nº 73, de 1993, relativas ao controle de legalidade mediante análise jurídica do processo de contratação, são da exclusiva alçada da unidade consultiva que presta assessoramento jurídico ao órgão gerenciador do registro de preços. II) O órgão não participante, em obediência ao § 4º do art. 53 da lei nº 14.133, de 2021, deverá submeter o processo de adesão à análise jurídica do respectivo órgão de assessoramento jurídico, hipótese em que este limitar-se-á a examinar a legalidade em relação aos requisitos da adesão. III) A análise a que se refere o inciso ii desta orientação normativa é dis","orientacao-normativa","1, 7","Sim","AGU, ON 88/2024, Registro de Preços, Lei 14.133/2021","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","30","Sistema de Registro de Preços, Lei 14.133/2021, Contratos Administrativos"
"orientacao-normativa","ON 89/2024","2024","Orientação Normativa AGU nº 89/2024","Orientação Normativa 89/2024 O prazo inicial de vigência da ata de registro de preços é necessariamente de 1 (um) ano, contado do primeiro dia útil subsequente à data de sua divulgação no PNCP, podendo ocorrer a prorrogação da vigência da ata para o período de mais de um ano, desde que formalizada na vigência inicial da ata e comprovada a vantajosidade do preço registrado, tudo conforme os termos do art. 84, da Lei nº 14.133, de 2021, c/c o art. 22 do Decreto nº 11.462, de 2023. Fundamentação","orientacao-normativa","1, 7, 9","Sim","AGU, ON 89/2024, Registro de Preços","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","10","Sistema de Registro de Preços"
"orientacao-normativa","ON 90/2024","2024","Orientação Normativa AGU nº 90/2024","Orientação Normativa 90/2024 (Lei 14.133/2021) A vigência do contrato de serviço contínuo ou de fornecimento não está adstrita ao exercício financeiro devendo a Administração atestar, no início da contratação e de cada exercício, a existência de créditos orçamentários vinculados à contratação e a vantagem em sua manutenção. Fundamentação","orientacao-normativa","1, 7","Sim","AGU, ON 90/2024, Contratos, Lei 14.133/2021","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","30","Lei 14.133/2021, Contratos Administrativos"
"orientacao-normativa","ON 91/2024","2024","Orientação Normativa AGU nº 91/2024","Orientação Normativa 91/2024 Na análise dos processos relativos à prorrogação de prazo contratos de serviços e fornecimentos continuados, previstos no art. 107 da Lei 14.133, de 2021, cumpre aos órgãos jurídicos verificar se não há extrapolação do atual prazo de vigência, bem como eventual ocorrência de solução de continuidade nos aditivos precedentes, hipóteses que configuram a extinção do ajuste, impedindo a sua prorrogação. Fundamentação","orientacao-normativa","1, 7, 9","Sim","AGU, ON 91/2024, Contratos, Lei 14.133/2021","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","20","Lei 14.133/2021, Contratos Administrativos"
"orientacao-normativa","ON 92/2024","2024","Orientação Normativa AGU nº 92/2024","Orientação Normativa 92/2024 I - A vigência dos contratos, dos convênios e instrumentos congêneres com escopo predefinido extingue-se pela conclusão de seu objeto, e não pela expiração do prazo originalmente previsto no ajuste, conforme o art. 111 da Lei 14.133, de 2021. II - É recomendável que a Administração avalie, no caso concreto, a necessidade de formalizar termo aditivo ou apostilamento, conforme a situação, para a fixação de novas datas, prazos ou cronogramas para a execução da obrigação ajustada, mesmo após ser atingido o termo final de vigência originalmente estabelecido, tendo em vista a proibição de instrumentos com prazo de vigência indeterminado. Fundamentação ( 1 , 2 ) * redação alterada para incluir na mesma regra os convênios e congêneres, bem como reforçar a ideia da proi","orientacao-normativa","1, 7, 9","Sim","AGU, ON 92/2024, Contratos, Lei 14.133/2021, Convênios","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","22","Lei 14.133/2021, Contratos Administrativos, Convênios e Parcerias"
"orientacao-normativa","ON 93/2024","2024","Orientação Normativa AGU nº 93/2024","Orientação Normativa 93/2024 A vigência do contrato de locação de imóveis no qual a Administração Pública é locatária não se sujeita aos limites constantes dos arts. 106 e 107 da Lei 14.133, de 1º de abril de 2021, sendo facultado que atos normativos internos estipulem limites de vigência contratual. Fundamentação","orientacao-normativa","1, 7","Sim","AGU, ON 93/2024, Contratos, Lei 14.133/2021","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","20","Lei 14.133/2021, Contratos Administrativos"
"orientacao-normativa","ON 76/2023","2023","Orientação Normativa AGU nº 76/2023","Orientação Normativa 76/2023 I - Nos contratos administrativos regidos pela Lei nº 14.133, de 2021, em regra, é vedado o pagamento antecipado, parcial ou total, do objeto contratado, sendo excepcionalmente admitido desde que, motivadamente, seja justificado o preenchimento cumulativo dos seguintes requisitos: a) a medida proporcione sensível economia de recursos ou represente condição indispensável para a consecução do objeto; b) haja previsão expressa no edital de licitação ou no instrumento formal de contratação direta; e c) contenha no instrumento convocatório ou no contrato como cautela obrigatória a exigência de devolução do valor antecipado caso não haja execução do objeto no prazo contratual. II - A partir do exame das circunstâncias que são próprias de cada caso concreto, e para re","orientacao-normativa","7, 10","Sim","AGU, ON 76/2023, Licitação, Contratos","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","42","Licitações, Contratos Administrativos"
"orientacao-normativa","ON 78/2023","2023","Orientação Normativa AGU nº 78/2023","Orientação Normativa 78/2023 O regime jurídico das sanções previstas na Lei n.º 14.133, de 2021 não é aplicável aos contratos firmados com base na legislação anterior, nem alterará as sanções já aplicadas ou a serem aplicadas com fundamento na legislação anterior, em respeito à proteção do ato jurídico perfeito. Fundamentação","orientacao-normativa","7","Sim","AGU, ON 78/2023, Contratos","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","10","Contratos Administrativos"
"orientacao-normativa","ON 79/2023","2023","Orientação Normativa AGU nº 79/2023","Orientação Normativa 79/2023 Mesmo após a revogação da Lei nº 8.666, de 21 de junho de 1993, havendo rescisão de contrato administrativo que tenha sido nela fundamentado, será admitida a celebração de contrato de remanescente de obra, serviço ou fornecimento com base em seu art. 24, inciso XI, desde que sejam atendidos todos demais requisitos legais aplicáveis a essa espécie de contratação. Fundamentação","orientacao-normativa","7","Sim","AGU, ON 79/2023, Contratos","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","22","Contratos Administrativos"
"orientacao-normativa","ON 69/2021","2021","Orientação Normativa AGU nº 69/2021","Orientação Normativa 69/2021 (Lei 14.133/2021) Não é obrigatória manifestação jurídica nas contratações diretas de pequeno valor com fundamento no art. 75, I ou II, e § 3º da Lei nº 14.133, de 1º de abril de 2021, salvo se houver celebração de contrato administrativo e este não for padronizado pelo órgão de assessoramento jurídico, ou nas hipóteses em que o administrador tenha suscitado dúvida a respeito da legalidade da dispensa de licitação. Aplica-se o mesmo entendimento às contratações diretas fundadas no art. 74, da Lei nº 14.133, de 2021, desde que seus valores não ultrapassem os limites previstos nos incisos I e II do art. 75, da Lei nº 14.133, de 2021. Fundamentação","orientacao-normativa","1, 7, 10","Sim","AGU, ON 69/2021, Licitação, Contratos, Contratação Direta, Lei 14.133/2021","https://www.gov.br/agu/pt-br/composicao/cgu/cgu/onsagu","Sim","42","Licitações, Lei 14.133/2021, Contratação Direta, Contratos Administrativos"
